,oscillator,ID,jacobian
131,True,3585518757969737330,"[ -78.33943708   10.9408197    81.21682023    2.50163326  -10.9408197
    0.          154.1772409  -294.7329288  -251.0355694 ]"
132,True,7258220805208597981,"[ -59.4622272   692.23112829  396.63520491   10.88346315 -640.54520564
 -349.45167804    0.         -330.13618125 -140.17171088]"
133,True,1192469536146748637,"[ -19.66829088  420.25001001  236.08722414   19.66829088 -556.37354248
 -230.85723142    0.         -284.12647754 -191.94485617]"
134,True,7690309504318991505,"[-164.82310822  -31.61860393   31.70753809  119.25145803 -403.05274133
 -210.92782026    4.5091106  -264.5640432  -161.09485263]"
135,True,1144002876938180004,"[-400.79596269  -53.22444823   34.66487976 -175.47146633   10.57881094
    0.          175.47146633   78.91745366  -29.43076974]"
136,True,4136002295773175308,"[ -5.11324818  25.94700483   2.75294569   6.02741643 -25.94700483
   0.           0.           8.06917718 -11.25657265]"
137,True,3588346213926691683,"[-497.7583835   -24.18426049  203.71453406   14.58534831  -19.94458265
    0.           59.93519168   12.41322244  -23.27621487]"
138,True,5831857702297493674,"[-430.38336344   52.61342033    7.12697558  150.74451218  -45.02679335
   40.13699071 -118.26297673   35.7026905   -44.19492135]"
139,True,7587706380582809119,"[-614.32275882   68.94661944  -33.78508222  505.33190772  -68.94661944
   37.42194329 -363.60930699    0.            2.82044825]"
140,True,3027309650880551177,"[-259.27650782  -34.08434154   71.69906466    0.           -7.72195634
    3.03208298   45.91254324   -5.45774936  -38.8816153 ]"
141,True,3904236902564848078,"[  -7.19812459    0.            0.48326481   31.67050691  -10.72147335
    0.48326481   14.39624917 -313.16654638  -47.61630959]"
142,True,7272700873412357328,"[ -41.39442956  103.58228585   56.75656913   41.39442956 -280.91610324
  -40.8484224    -7.10230711 -103.58228585  -16.63736875]"
143,True,8908495042826566265,"[-642.16398664  110.85339926   77.66288536    0.          -11.69651712
    7.10241639  519.12085801 -103.26860813  -38.23622587]"
144,True,1559687460545473036,"[ -25.78036349  -16.45335722    0.         -183.82955425 -940.74900508
   38.32876748  266.09634034  506.92505216  -38.32876748]"
